GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),BioGPS_Position (position),BioShade_Position (position)
42859.8336367593,05/04/2017 20:00:26,05/04/2017 08:00:26.216 PM,216,0.9018378,1.817544,0.6290568,-1.957407,4.547872,14.18678,28.33433,32.17987,46.72939,80.24018,89.58392,105.0143,101.8397,97.88501,100.5489,98.73905,90.02143,87.60364,86.62859,79.41673,76.65791,78.75185,67.50746,51.02516,0.2291322,0.7639453,1.402795,6.846863,20.48025,31.89024,43.40449,47.89521,47.50838,52.08539,53.17089,47.84682,37.71894,32.25559,28.02584,26.5875,21.67346,2.460116,0.1504686,0.0001211681,0.0005555729,0.001275558,0.01359497,0.06293336,0.1464026,0.2579482,0.3754414,0.4534951,0.5515688,0.6336697,0.4710839,0.187518,0.1018747,0.09234964,0.07749637,0.03882401,0.0006804158,6.341943E-05,3.100597,200025,4074
42859.8336374769,05/04/2017 20:00:26,05/04/2017 08:00:26.278 PM,278,0.8870933,2.656917,-0.1397877,-1.537848,6.162531,14.18539,28.33001,32.20316,46.71568,80.22267,89.49138,104.9623,101.8216,97.8598,100.5207,98.71819,89.99142,87.57895,86.60088,79.39565,76.63375,78.72913,67.48157,51.00743,0.2307786,0.7698392,1.412824,6.859152,20.61479,32.04791,42.90976,47.45442,48.36321,53.06617,53.52079,47.11198,37.98218,33.2713,28.57589,27.02545,21.73448,2.574605,0.1616513,0.0001500255,0.0005991704,0.001371657,0.01416258,0.06490897,0.1495234,0.2601982,0.3781043,0.4566585,0.5554873,0.6372609,0.472587,0.1888715,0.1033942,0.09400016,0.07822097,0.0396967,0.0007435764,6.652285E-05,2.880131,-6630.446,4074
42859.8336381944,05/04/2017 20:00:26,05/04/2017 08:00:26.34 PM,340,0.8774329,2.097282,0.3494712,-1.887474,4.407657,14.18382,28.32826,32.19669,46.72725,80.22562,89.55279,104.9711,101.8267,97.85883,100.5241,98.73026,89.99612,87.58028,86.6102,79.40107,76.6366,78.73263,67.48791,51.01194,0.2377976,0.7861826,1.419513,6.797702,20.14904,31.26988,42.07068,46.76424,46.06958,50.67696,51.28595,45.90255,36.32594,31.10908,27.01913,25.64071,20.96277,2.565166,0.1695584,0.0001458302,0.0006271481,0.001451688,0.01472812,0.0666393,0.1525117,0.263268,0.3810841,0.4595259,0.5591906,0.6422306,0.4754189,0.1902173,0.1046508,0.09554792,0.07920599,0.04033509,0.000791022,7.304493E-05,2.937525,5012.367,4074
42859.8336390972,05/04/2017 20:00:26,05/04/2017 08:00:26.418 PM,418,0.8625777,2.097282,-0.06989381,-1.328101,3.63692,14.18038,28.32431,32.19497,46.68653,80.18937,89.5284,104.906,101.7648,97.80842,100.4722,98.66521,89.94756,87.52561,86.54965,79.35665,76.59005,78.68938,67.44571,50.97539,0.2663019,0.8804544,1.579631,7.626402,21.74461,36.52773,49.55449,55.7009,55.78179,62.37978,62.09338,58.03456,45.70457,39.75578,34.62442,32.99365,27.87641,3.590665,0.2549485,0.0001555598,0.0006633492,0.001494586,0.01513667,0.06810159,0.1553269,0.2657877,0.3841519,0.4632889,0.5638201,0.6473476,0.4778446,0.191981,0.1060685,0.09708121,0.08021511,0.04117099,0.0008412303,6.701006E-05,2.669761,10,4074
42859.8336398264,05/04/2017 20:00:26,05/04/2017 08:00:26.481 PM,481,0.8486437,1.957407,-0.2096819,-1.46793,2.58695,14.18071,28.31669,32.15918,46.69137,80.1757,89.539,104.9235,101.7617,97.79114,100.4568,98.65199,89.92661,87.51527,86.53471,79.33553,76.57469,78.67266,67.43089,50.97084,0.3102782,1.012645,1.833125,8.714337,26.57051,42.5634,58.02042,65.20261,66.5588,73.59304,75.26694,69.43422,57.29059,51.28163,44.93059,42.73765,35.57248,4.973567,0.3754915,0.0001504427,0.0007090344,0.001560381,0.01540695,0.06942811,0.1578042,0.268525,0.3876778,0.4681177,0.5687418,0.6527035,0.4806417,0.1939601,0.1074531,0.09849966,0.08119233,0.04167743,0.0008608583,6.843485E-05,2.346588,200025,4074
42859.833640544,05/04/2017 20:00:26,05/04/2017 08:00:26.543 PM,543,0.8362197,1.537848,0.4892626,-0.8387555,4.61799,14.18364,28.31752,32.21307,46.71443,80.21157,89.52298,104.9706,101.7987,97.83244,100.4943,98.69688,89.97079,87.55835,86.57852,79.37427,76.60765,78.71186,67.46497,50.9903,0.3737876,1.214304,2.209334,10.65297,32.99309,53.88662,73.27703,82.6405,84.58913,93.76304,95.36543,89.19423,73.68705,66.46108,58.05916,55.33889,46.80156,6.771259,0.5339051,0.0001719824,0.000741693,0.00160053,0.01592531,0.07137296,0.1617445,0.272731,0.3933376,0.474614,0.5775207,0.6620733,0.4868826,0.1985706,0.1110609,0.1019298,0.08363275,0.04344965,0.000921146,7.560031E-05,2.039982,-6630.446,4074
42859.8336412732,05/04/2017 20:00:26,05/04/2017 08:00:26.606 PM,606,0.8269557,1.677691,0.2795763,-0.6989553,5.038847,14.18612,28.33111,32.20704,46.72963,80.2468,89.51712,105.0356,101.8666,97.89773,100.5837,98.75582,90.03392,87.62408,86.6553,79.43404,76.66914,78.77332,67.52642,51.04274,0.3989387,1.275999,2.240805,10.14855,29.6572,46.3431,63.59874,70.36249,70.65681,77.97776,82.62368,74.28859,63.79985,57.59804,50.13083,48.29586,39.53359,6.104482,0.5068612,0.0001650162,0.0007527951,0.001643126,0.01634029,0.07263583,0.1643752,0.275201,0.3963896,0.4782181,0.5825493,0.6678213,0.4903561,0.2004333,0.1127616,0.1040278,0.08433384,0.0442232,0.0009653014,7.211555E-05,2.111757,5012.367,4074
42859.8336419907,05/04/2017 20:00:26,05/04/2017 08:00:26.668 PM,668,0.8047079,0.6989553,1.048466,-0.8387555,4.547872,14.18867,28.33938,32.21264,46.74612,80.27861,89.63269,105.0785,101.9146,97.95537,100.6354,98.8287,90.09466,87.69146,86.7149,79.48486,76.72507,78.82565,67.56993,51.07735,0.454213,1.443568,2.496554,10.8429,31.20124,48.51529,64.45426,71.12571,71.96833,79.00435,79.53854,73.40275,60.17833,53.91582,48.23094,44.96864,38.06353,5.901013,0.5084018,0.0001724051,0.0007839123,0.001719409,0.01684618,0.07476982,0.1681052,0.2810173,0.4033971,0.4862714,0.5907613,0.6769582,0.4972502,0.2054214,0.1164503,0.1074003,0.08739121,0.04618797,0.001031591,7.824459E-05,1.948962,10,4074
42859.8336428935,05/04/2017 20:00:26,05/04/2017 08:00:26.746 PM,746,0.7860457,1.048466,0.6989553,-0.6989553,4.197382,14.19681,28.35536,32.2467,46.7717,80.34907,89.73631,105.1871,102.0291,98.06754,100.7551,98.93349,90.1929,87.77367,86.80196,79.5807,76.81545,78.92749,67.6439,51.12687,0.5306178,1.674596,2.887987,12.52242,36.14534,56.26183,75.05713,82.94504,84.09955,92.55362,93.55585,86.7497,71.88795,65.70332,58.31721,54.33915,46.20209,7.473867,0.6755013,0.0001782454,0.000804907,0.001752394,0.01707789,0.07593329,0.1710182,0.2841241,0.4075882,0.4924539,0.5968192,0.6843977,0.5028443,0.209266,0.1194078,0.1105149,0.08934951,0.04760933,0.001072048,8.070522E-05,1.974512,200026,4074
42859.8336436111,05/04/2017 20:00:26,05/04/2017 08:00:26.808 PM,808,0.7755457,0.1397877,1.817544,-0.4193665,4.547872,14.19959,28.35702,32.26308,46.79503,80.39433,89.71374,105.23,102.0559,98.08113,100.778,98.97152,90.21439,87.80621,86.82703,79.59667,76.82731,78.93391,67.66117,51.14205,0.5659682,1.752424,2.995963,12.68652,35.95391,55.10848,74.27808,81.86384,82.31671,90.55787,93.77692,85.74779,72.85788,66.2113,57.69191,55.65776,47.05422,8.123879,0.7908249,0.0001830146,0.000833727,0.001801133,0.01741817,0.07724822,0.1737761,0.2880399,0.4127215,0.4975459,0.6039284,0.6913224,0.5084907,0.2126162,0.1218309,0.1126944,0.09104391,0.04858279,0.001108488,8.223645E-05,1.910246,-6630.446,4074
