GeneralExcelTime,DateTime,DateTimeUTC,Millisecond (ms),LuZDepth (m),EuZDepth (m),Ed0Roll (°),Ed0Pitch (°),EdZRoll (°),EdZPitch (°),EuZRoll (°),EuZPitch (°),Ed0320 (µW/(cm² nm)),Ed0330 (µW/(cm² nm)),Ed0340 (µW/(cm² nm)),Ed0380 (µW/(cm² nm)),Ed0412 (µW/(cm² nm)),Ed0443 (µW/(cm² nm)),Ed0465 (µW/(cm² nm)),Ed0490 (µW/(cm² nm)),Ed0510 (µW/(cm² nm)),Ed0532 (µW/(cm² nm)),Ed0555 (µW/(cm² nm)),Ed0589 (µW/(cm² nm)),Ed0625 (µW/(cm² nm)),Ed0665 (µW/(cm² nm)),Ed0683 (µW/(cm² nm)),Ed0694 (µW/(cm² nm)),Ed0710 (µW/(cm² nm)),Ed0780 (µW/(cm² nm)),Ed0875 (µW/(cm² nm)),EdZ320 (µW/(cm² nm)),EdZ330 (µW/(cm² nm)),EdZ340 (µW/(cm² nm)),EdZ380 (µW/(cm² nm)),EdZ412 (µW/(cm² nm)),EdZ443 (µW/(cm² nm)),EdZ465 (µW/(cm² nm)),EdZ490 (µW/(cm² nm)),EdZ510 (µW/(cm² nm)),EdZ532 (µW/(cm² nm)),EdZ555 (µW/(cm² nm)),EdZ589 (µW/(cm² nm)),EdZ625 (µW/(cm² nm)),EdZ665 (µW/(cm² nm)),EdZ683 (µW/(cm² nm)),EdZ694 (µW/(cm² nm)),EdZ710 (µW/(cm² nm)),EdZ780 (µW/(cm² nm)),EdZ875 (µW/(cm² nm)),LuZ320 (µW/(sr cm² nm)),LuZ330 (µW/(sr cm² nm)),LuZ340 (µW/(sr cm² nm)),LuZ380 (µW/(sr cm² nm)),LuZ412 (µW/(sr cm² nm)),LuZ443 (µW/(sr cm² nm)),LuZ465 (µW/(sr cm² nm)),LuZ490 (µW/(sr cm² nm)),LuZ510 (µW/(sr cm² nm)),LuZ532 (µW/(sr cm² nm)),LuZ555 (µW/(sr cm² nm)),LuZ589 (µW/(sr cm² nm)),LuZ625 (µW/(sr cm² nm)),LuZ665 (µW/(sr cm² nm)),LuZ683 (µW/(sr cm² nm)),LuZ694 (µW/(sr cm² nm)),LuZ710 (µW/(sr cm² nm)),LuZ780 (µW/(sr cm² nm)),LuZ875 (µW/(sr cm² nm)),LuZTemp (°C),EuZ320 (µW/(cm² nm)),EuZ330 (µW/(cm² nm)),EuZ340 (µW/(cm² nm)),EuZ380 (µW/(cm² nm)),EuZ412 (µW/(cm² nm)),EuZ443 (µW/(cm² nm)),EuZ465 (µW/(cm² nm)),EuZ490 (µW/(cm² nm)),EuZ510 (µW/(cm² nm)),EuZ532 (µW/(cm² nm)),EuZ555 (µW/(cm² nm)),EuZ589 (µW/(cm² nm)),EuZ625 (µW/(cm² nm)),EuZ665 (µW/(cm² nm)),EuZ683 (µW/(cm² nm)),EuZ694 (µW/(cm² nm)),EuZ710 (µW/(cm² nm)),EuZ780 (µW/(cm² nm)),EuZ875 (µW/(cm² nm)),EuZTemp (°C),BioGPSPosition (position),BioShadePosition (position),Ed0Tilt (°),EdZTilt (°),EuZTilt (°),SolarZenithAngle (°),SolarAzimuthAngle (°)
43617.5637804167,06/01/2019 13:31:50,06/01/2019 01:31:50.628 PM,628,0.4671907,0.3638389,0.7688549,0.4892626,-2.516986,7.993807,-3.917104,13.47358,18.85376,40.58774,43.18683,58.09705,105.9599,124.3239,135.454,130.1922,125.6052,129.1806,128.1895,117.885,114.0095,110.9878,102.0203,100.2884,101.5189,86.22624,65.87317,2.126587,5.55811,8.598027,27.9387,70.28169,94.74817,121.0125,126.0184,124.3953,135.4323,137.9147,126.9521,114.3534,110.255,98.67217,96.12698,88.64572,36.33477,10.70622,3.303546E-05,0.000165776,0.0002653122,0.003986112,0.02621537,0.079677,0.1384541,0.2177514,0.2828434,0.3555603,0.410647,0.3667676,0.2085201,0.1457494,0.1239468,0.0962952,0.05634566,0.002484252,0.0001288485,5.71816,0.0004276964,0.001000808,0.002861214,0.02957577,0.1626604,0.4433568,0.8058237,1.190115,1.423157,1.810463,2.037218,1.839815,1.073967,0.7552885,0.6132543,0.5097502,0.2915888,0.01378491,0.0007740331,5.486657,5000.071,-998,0.9112948,-8.370988,-13.99221,43.67241,113.717
43617.5637809606,06/01/2019 13:31:50,06/01/2019 01:31:50.675 PM,675,0.4749973,0.3727626,1.537848,0.7688549,-2.516986,6.232837,-3.286811,11.46915,18.82684,40.53467,43.14751,57.99234,105.7209,124.1636,135.1225,129.8515,125.3077,128.8277,127.832,117.5771,113.7141,110.6886,101.7431,100.0156,101.2355,85.98449,65.66898,1.995744,5.421969,8.610391,28.88191,73.49207,102.1432,133.3954,141.8872,137.26,150.7788,147.4891,143.6786,130.146,122.8332,113.439,107.2373,102.3292,40.50174,10.98507,2.388339E-05,0.0001224141,0.0002238462,0.003630229,0.02384409,0.07381858,0.1310533,0.2056175,0.2673201,0.3363418,0.3912639,0.35002,0.1956316,0.1354877,0.114793,0.08995848,0.05159906,0.002077223,0.0001089555,5.716158,0.0002504275,0.0007137782,0.002299703,0.02745756,0.157627,0.4291275,0.7816682,1.155789,1.382115,1.757479,1.984085,1.791517,1.042348,0.7314323,0.5940358,0.4935025,0.281334,0.01346814,0.0007673333,5.500617,8,-998,1.719171,-6.714475,-11.90711,43.67241,113.717
43617.5637818634,06/01/2019 13:31:50,06/01/2019 01:31:50.753 PM,753,0.4830137,0.3814757,1.957407,0.3494712,-2.307119,4.407657,-2.516986,9.620604,18.80485,40.48215,43.05914,57.89236,105.5208,124.0984,134.8656,129.5963,125.0345,128.5459,127.5507,117.3113,113.4608,110.4376,101.4853,99.79337,100.9962,85.77137,65.49741,1.616022,4.303212,6.826407,23.44157,61.57993,85.07689,108.9079,114.0708,113.3693,123.742,125.398,116.0342,104.2906,101.1239,89.55088,87.59278,79.06749,29.61434,7.869614,3.93008E-05,0.0001082917,0.0001938707,0.003385946,0.02295204,0.07242806,0.1261652,0.1971259,0.257262,0.3245617,0.3796812,0.3358115,0.1855542,0.1290006,0.1103017,0.08518364,0.04866388,0.001825928,0.0001014052,5.724134,0.0004755309,0.001116228,0.002054845,0.02891479,0.154083,0.4172568,0.760641,1.125913,1.347374,1.716198,1.939107,1.750749,1.016374,0.712041,0.5787838,0.4802266,0.2731128,0.01309039,0.0007704833,5.492406,133149,-998,1.988312,-4.970753,-9.932598,43.67241,113.717
43617.5637825926,06/01/2019 13:31:50,06/01/2019 01:31:50.816 PM,816,0.4900039,0.3905346,2.377071,0.4193665,-2.167225,2.726888,-1.747616,7.782122,18.78027,40.42725,42.99487,57.78502,105.298,123.8154,134.5324,129.2912,124.7386,128.2247,127.2352,117.0198,113.1702,110.1564,101.2042,99.53045,100.7325,85.54615,65.3153,1.682942,4.572087,7.396455,26.57047,72.2382,102.2392,131.7746,141.5323,138.9727,152.4562,154.7405,144.0203,129.8163,126.25,111.8111,109.4253,100.2497,36.33363,9.049114,3.791425E-05,9.486264E-05,0.0001956176,0.003131493,0.02219318,0.07094017,0.1227205,0.1915883,0.250108,0.3159879,0.3711231,0.3269735,0.1796651,0.1246128,0.107295,0.08224996,0.04672825,0.001651084,8.65526E-05,5.716538,0.000149131,0.000684164,0.002524156,0.030543,0.150309,0.4073679,0.7437484,1.102323,1.320073,1.683367,1.904152,1.717414,0.9961317,0.6970146,0.5670225,0.4701163,0.2673377,0.01278001,0.0006901171,5.486383,-6631.145,-998,2.413697,-3.481181,-7.971272,43.67241,113.717
43617.5637833449,06/01/2019 13:31:50,06/01/2019 01:31:50.881 PM,881,0.4971692,0.398847,2.656917,0.2795763,-1.957407,1.18828,-1.118372,6.162531,18.76283,40.40053,42.94591,57.70397,105.1558,123.7086,134.346,129.0971,124.5378,127.9497,127.0181,116.8205,112.9746,109.9582,101.0282,99.369,100.5423,85.37659,65.1932,1.8133,4.954771,8.130115,30.20949,82.65527,117.8015,153.6668,165.263,162.6201,178.7674,180.8137,169.5145,152.3455,147.1636,131.344,127.4752,116.5521,40.64148,9.689595,2.670539E-05,9.468609E-05,0.0001690822,0.003037808,0.02157393,0.06973109,0.1207565,0.18909,0.246461,0.3113482,0.3662292,0.3220845,0.1772826,0.1230423,0.1060991,0.08115951,0.04616494,0.0015742,8.184582E-05,5.72641,0.001082607,0.001201057,0.002410796,0.02726361,0.1486904,0.4024096,0.7349451,1.088535,1.303301,1.663284,1.881669,1.695891,0.9844355,0.6887766,0.5610924,0.4650896,0.2650954,0.01277855,0.0006832543,5.483692,5000.071,-998,2.671544,-2.289379,-6.261659,43.67241,113.717
43617.5637841319,06/01/2019 13:31:50,06/01/2019 01:31:50.949 PM,949,0.5046376,0.4090819,2.936826,0.2795763,-1.677691,-0.06989381,-0.5591593,4.758247,18.74732,40.35615,42.88874,57.64209,104.9901,123.5836,134.1574,128.8907,124.3336,127.7209,126.8165,116.6355,112.79,109.7746,100.8547,99.19421,100.3682,85.23046,65.07242,1.737099,4.732224,7.290016,28.22013,74.57323,106.1921,141.5654,144.2871,147.7149,160.6958,157.9398,156.7381,140.9616,128.8372,122.0426,112.7099,101.4191,35.00753,8.475851,2.323615E-05,7.832875E-05,0.0001600539,0.002873673,0.02027013,0.06651676,0.1185213,0.1860626,0.2417577,0.3047712,0.3583418,0.3203937,0.1747352,0.1206377,0.1033832,0.08002101,0.04511983,0.001406364,7.213937E-05,5.723025,0.0006450618,0.0007084628,0.002249069,0.02828188,0.1475158,0.3982706,0.7279203,1.07834,1.291555,1.648317,1.865448,1.681877,0.976421,0.6837445,0.5570074,0.4622221,0.2636635,0.01275324,0.000683917,5.490178,8,-998,2.950057,-1.679145,-4.79069,43.6698,113.7216
43617.563785,06/01/2019 13:31:51,06/01/2019 01:31:51.024 PM,24,0.5112988,0.4180549,2.796863,0.2795763,-1.46793,-1.328101,-0.06989381,3.63692,18.73178,40.31516,42.86125,57.57992,104.8396,123.4217,133.9597,128.7064,124.1477,127.5113,126.6186,116.4447,112.604,109.5924,100.6816,99.02689,100.1958,85.08418,64.95946,1.3284,3.493017,5.38505,17.94367,44.8939,61.05865,78.90833,80.96502,79.61209,86.46473,84.30164,80.45029,71.06501,64.97536,60.18384,55.73348,50.76245,17.55303,4.259266,1.592226E-05,6.530661E-05,0.0001533367,0.002666703,0.01903554,0.06344676,0.1158441,0.1828052,0.2371772,0.2987647,0.3521251,0.3155571,0.1720159,0.1177374,0.1004468,0.0783505,0.04340593,0.001249408,7.018261E-05,5.723298,0.0003095171,0.0006758113,0.001952065,0.02441296,0.141049,0.3870531,0.7116197,1.05832,1.270334,1.623728,1.840218,1.659115,0.9604599,0.6713282,0.5461295,0.4529107,0.2564296,0.0117127,0.0006405627,5.484354,133149,-998,2.810757,-1.979174,-3.637588,43.6698,113.7216
43617.5637857176,06/01/2019 13:31:51,06/01/2019 01:31:51.086 PM,86,0.5196792,0.4272856,3.006814,0.2096819,-1.18828,-2.377071,0.3494712,2.726888,18.72216,40.31132,42.85702,57.52381,104.779,123.3276,133.8396,128.591,124.0328,127.3862,126.5031,116.3368,112.4836,109.4704,100.5879,98.92889,100.0988,84.99467,64.89417,1.35416,3.507462,5.372693,16.94891,41.87982,56.09831,71.31223,73.59361,71.45665,77.31622,76.14101,70.69285,62.17347,58.07173,52.20909,48.96819,45.47297,16.28313,4.084053,1.483489E-05,7.55103E-05,0.0001559396,0.002487279,0.01754992,0.05926105,0.1135719,0.1798186,0.2320313,0.2914194,0.3423741,0.3152905,0.1692687,0.1138476,0.09585365,0.07659744,0.0410792,0.001052676,6.396658E-05,5.721334,0.0001343586,0.0004085242,0.001382996,0.02563285,0.1346412,0.3740906,0.6926825,1.035876,1.245489,1.597052,1.81352,1.63512,0.9422911,0.6564744,0.5333972,0.4412298,0.2477266,0.01060055,0.0005920496,5.488034,-6631.145,-998,3.014089,-2.656923,2.749123,43.6698,113.7216
43617.5637864468,06/01/2019 13:31:51,06/01/2019 01:31:51.149 PM,149,0.5262556,0.4367861,2.936826,0.1397877,-0.9785607,-3.216805,0.6290568,2.307119,18.71703,40.29238,42.83081,57.50653,104.7353,123.2214,133.7733,128.5206,123.9772,127.311,126.4306,116.2763,112.4245,109.4089,100.5353,98.88058,100.0367,84.94981,64.86007,1.560819,4.029275,6.1806,19.55381,49.21586,66.94724,84.83598,89.00613,86.8884,94.51216,94.46714,87.78833,74.60659,75.50302,65.79073,65.38885,60.4555,23.39698,6.421374,1.893843E-05,6.530661E-05,0.0001571801,0.002321259,0.01653004,0.05614783,0.1114805,0.1767388,0.2271922,0.2852682,0.3380483,0.3130098,0.1662055,0.1100396,0.0919891,0.07490996,0.03919669,0.0009254758,6.592741E-05,5.714119,0.0004495033,0.000820845,0.00122933,0.02435937,0.1280024,0.3618599,0.6748202,1.015381,1.224645,1.573891,1.789666,1.613598,0.9266495,0.6435825,0.5223199,0.4312485,0.2400656,0.00974453,0.0004701278,5.493964,5000.071,-998,2.940139,-3.361755,2.391162,43.6698,113.7216
43617.5637872106,06/01/2019 13:31:51,06/01/2019 01:31:51.215 PM,215,0.5328845,0.4451485,3.076806,-0.06989381,-0.6989553,-3.84705,0.9785607,2.23717,18.71705,40.28304,42.82996,57.50907,104.72,123.2465,133.7953,128.5172,123.9774,127.3167,126.4267,116.2774,112.4158,109.4135,100.5368,98.88403,100.0402,84.94514,64.86364,1.609444,4.050155,6.036704,18.00306,43.94589,58.53813,73.45203,77.31264,74.23662,80.57961,81.13547,75.60479,68.1419,64.46344,58.05251,55.43311,51.5025,20.82541,5.982729,1.945623E-05,7.044613E-05,0.0001358447,0.002259295,0.01586386,0.05412649,0.1102233,0.1748415,0.2242126,0.2811818,0.3333665,0.3115404,0.1645699,0.1077896,0.08962075,0.07419007,0.03822453,0.0008357876,5.821837E-05,5.71969,2.876322E-05,-0.0001207348,0.000677139,0.02156487,0.1235301,0.3522692,0.6601098,0.997937,1.207359,1.553921,1.770051,1.595953,0.9129791,0.6323013,0.512996,0.4226187,0.2338843,0.009116933,0.0004263476,5.481922,8,-998,3.077597,-3.909655,2.441427,43.6698,113.7216
