[Header]
HydroSoftVersion=2.90
CreationDate=07-10-19 15:06:30
FileType=dat
DeviceType=HydroScat-6
DataSource=C:\carlos\bsi_database\iop\hs\HS6_035.RAW
CalSource=C:\carlos\bsi_database\iop\cal_files\HS100649 2016-3-29.cal
Serial=HS100649
Config=B2F0
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb394"
"bb470"
"bb420"
"bb700"
"bb532"
"bb620"
"fl470"
"fl700"
[ColumnHeadings]
Time,Depth,bb394,bb470,bb420,bb700,bb532,bb620,fl470,fl700,bb394uncorr,bb470uncorr,bb420uncorr,bb700uncorr,bb532uncorr,bb620uncorr,fl470uncorr,fl700uncorr,betabb394,betabb470,betabb420,betabb700,betabb532,betabb620,betafl470,betafl700,betabb394uncorr,betabb470uncorr,betabb420uncorr,betabb700uncorr,betabb532uncorr,betabb620uncorr,betafl470uncorr,betafl700uncorr
[Data]
42876.5573842593,5.289101,9.484117E-03,7.686472E-03,8.993843E-03,5.262474E-03,7.203152E-03,5.54877E-03,1.633101E-03,2.357962E-03,9.234316E-03,7.484979E-03,8.743171E-03,5.161271E-03,7.027509E-03,5.438482E-03,1.591576E-03,2.393051E-03,1.456975E-03,1.160418E-03,1.370409E-03,7.804619E-04,1.077713E-03,8.260677E-04,.0002344,3.524375E-04,1.420163E-03,1.130725E-03,1.333469E-03,7.655481E-04,1.051829E-03,8.098151E-04,.0002344,3.524375E-04,
42876.5573842593,5.302001,8.974725E-03,7.684707E-03,8.655156E-03,5.262474E-03,6.457178E-03,4.883707E-03,1.407793E-03,2.026819E-03,8.753854E-03,7.483309E-03,8.42408E-03,5.161271E-03,6.316488E-03,4.798423E-03,1.373206E-03,2.061705E-03,1.381908E-03,1.160158E-03,1.320499E-03,7.804619E-04,9.677819E-04,7.280604E-04,2.022395E-04,3.036385E-04,1.349359E-03,1.130479E-03,1.286446E-03,7.655481E-04,9.47049E-04,7.154925E-04,2.022395E-04,3.036385E-04,
42876.5573842593,5.366501,8.772048E-03,6.892945E-03,8.140304E-03,4.244213E-03,6.228434E-03,4.644837E-03,1.405258E-03,2.026819E-03,8.562224E-03,6.731879E-03,7.937571E-03,4.178336E-03,6.097712E-03,4.56777E-03,1.373206E-03,2.061705E-03,1.352041E-03,1.04348E-03,1.244627E-03,6.304055E-04,9.340729E-04,6.928593E-04,2.022395E-04,3.036385E-04,1.32112E-03,1.019744E-03,1.214751E-03,6.206975E-04,9.14809E-04,6.815023E-04,2.022395E-04,3.036385E-04,
42876.5573958333,5.431001,8.361677E-03,6.892945E-03,8.274505E-03,4.379541E-03,5.981044E-03,4.582203E-03,1.331256E-03,2.239404E-03,8.173411E-03,6.731879E-03,8.064553E-03,4.309394E-03,5.860705E-03,4.507224E-03,1.301817E-03,2.274421E-03,1.291566E-03,1.04348E-03,1.264404E-03,6.503482E-04,8.976162E-04,6.836292E-04,1.917256E-04,3.349663E-04,1.263822E-03,1.019744E-03,1.233464E-03,6.400109E-04,8.798824E-04,6.725799E-04,1.917256E-04,3.349663E-04,
42876.5573958333,5.456801,8.722156E-03,6.796485E-03,8.39426E-03,4.379541E-03,6.028586E-03,4.850837E-03,1.387702E-03,2.173994E-03,8.515011E-03,6.640037E-03,8.177766E-03,4.309394E-03,5.906283E-03,4.766708E-03,1.356409E-03,2.20897E-03,1.344688E-03,1.029265E-03,1.282052E-03,6.503482E-04,9.046222E-04,7.232166E-04,1.997657E-04,3.25327E-04,1.314162E-03,1.00621E-03,1.250148E-03,6.400109E-04,8.865991E-04,7.108189E-04,1.997657E-04,3.25327E-04,
42876.5573958333,5.405201,8.801404E-03,6.637522E-03,8.32584E-03,4.470905E-03,6.359749E-03,4.764232E-03,1.459553E-03,2.172268E-03,8.589996E-03,6.488544E-03,8.113096E-03,4.397801E-03,6.223348E-03,4.683109E-03,1.426862E-03,2.207244E-03,1.356367E-03,1.00584E-03,1.271969E-03,6.638121E-04,9.534243E-04,7.10454E-04,2.101416E-04,3.250727E-04,1.325212E-03,9.838854E-04,1.240618E-03,6.530391E-04,9.333234E-04,6.984992E-04,2.101416E-04,3.250727E-04,
42876.5574074074,5.224601,8.942396E-03,6.637036E-03,8.374834E-03,4.336791E-03,6.128475E-03,4.835899E-03,1.482349E-03,2.312992E-03,8.723304E-03,6.488081E-03,8.159406E-03,4.268007E-03,6.001998E-03,4.752292E-03,1.448796E-03,2.348053E-03,1.377144E-03,1.005768E-03,1.279189E-03,6.440483E-04,9.193423E-04,7.210152E-04,2.13372E-04,3.458105E-04,1.344857E-03,9.838172E-04,1.247442E-03,6.33912E-04,9.007041E-04,7.086945E-04,2.13372E-04,3.458105E-04,
42876.5574074074,5.263301,9.13648E-03,7.328733E-03,8.280976E-03,4.338572E-03,6.309405E-03,4.892672E-03,1.484733E-03,2.296639E-03,8.906602E-03,.007146,8.070672E-03,4.269731E-03,6.175195E-03,4.807072E-03,1.448796E-03,2.331691E-03,1.405745E-03,.0011077,1.265357E-03,6.443108E-04,9.460053E-04,7.293816E-04,2.13372E-04,3.434007E-04,1.371869E-03,1.080772E-03,1.234366E-03,6.341661E-04,9.262274E-04,7.167671E-04,2.13372E-04,3.434007E-04,
42876.5574074074,5.263301,9.327874E-03,7.637073E-03,8.496293E-03,4.621152E-03,6.266532E-03,4.719438E-03,1.554981E-03,2.296639E-03,9.087122E-03,7.438223E-03,8.27415E-03,4.543056E-03,6.134175E-03,4.639849E-03,1.515986E-03,2.331691E-03,1.43395E-03,1.153139E-03,1.297088E-03,6.859533E-04,9.396873E-04,7.03853E-04,2.232675E-04,3.434007E-04,1.398472E-03,1.123835E-03,1.264352E-03,6.744447E-04,9.201824E-04,6.921242E-04,2.232675E-04,3.434007E-04,
42876.5574074074,5.302001,9.366182E-03,7.822407E-03,8.478473E-03,4.621152E-03,6.280822E-03,5.155931E-03,1.581465E-03,2.079965E-03,9.123227E-03,7.613557E-03,8.257321E-03,4.543056E-03,6.147848E-03,5.06079E-03,1.541183E-03,2.114884E-03,1.439595E-03,1.180451E-03,1.294462E-03,6.859533E-04,9.417931E-04,7.681769E-04,2.269783E-04,3.114704E-04,1.403792E-03,1.149673E-03,1.261872E-03,6.744447E-04,9.221974E-04,7.541563E-04,2.269783E-04,3.114704E-04,
42876.5574189815,5.405201,9.295466E-03,7.339293E-03,8.561114E-03,4.647033E-03,6.34276E-03,5.009281E-03,1.579875E-03,2.04726E-03,9.056573E-03,7.156019E-03,8.335345E-03,4.568061E-03,.0062071,4.919515E-03,1.541183E-03,2.082159E-03,1.429174E-03,1.109256E-03,1.30664E-03,6.897672E-04,9.509206E-04,7.465658E-04,2.269783E-04,3.066508E-04,1.39397E-03,1.082248E-03,1.27337E-03,6.781295E-04,9.30929E-04,7.333373E-04,2.269783E-04,3.066508E-04,
42876.5574189815,5.340701,9.104115E-03,7.339293E-03,8.363502E-03,.0044428,6.543053E-03,4.800055E-03,1.570747E-03,2.112671E-03,8.876052E-03,7.156019E-03,8.148697E-03,4.370612E-03,6.398529E-03,4.717695E-03,1.532784E-03,2.14761E-03,1.400976E-03,1.109256E-03,1.277519E-03,6.596703E-04,9.804368E-04,7.15733E-04,2.257414E-04,3.162901E-04,1.367367E-03,1.082248E-03,1.245864E-03,6.490324E-04,9.59139E-04,7.035959E-04,2.257414E-04,3.162901E-04,
42876.5574189815,5.366501,9.177682E-03,7.036884E-03,8.384546E-03,.0044428,6.414261E-03,5.045181E-03,1.570074E-03,2.149464E-03,8.945483E-03,6.868806E-03,8.168587E-03,4.370612E-03,6.275468E-03,4.954113E-03,1.532784E-03,2.184426E-03,1.411817E-03,1.064692E-03,1.28062E-03,6.596703E-04,9.614573E-04,7.518561E-04,2.257414E-04,3.217122E-04,1.377599E-03,1.039923E-03,1.248795E-03,6.490324E-04,9.41004E-04,7.384358E-04,2.257414E-04,3.217122E-04,
42876.5574305556,5.366501,9.372077E-03,7.298816E-03,8.523839E-03,4.727383E-03,6.276058E-03,5.02723E-03,1.54983E-03,2.149464E-03,9.128781E-03,7.117613E-03,8.300158E-03,4.645661E-03,6.143291E-03,4.936814E-03,1.511787E-03,2.184426E-03,1.440464E-03,1.103291E-03,1.301147E-03,7.016081E-04,9.410912E-04,7.492108E-04,2.22649E-04,3.217122E-04,1.404611E-03,1.076588E-03,1.268184E-03,6.895651E-04,9.215257E-04,7.358866E-04,2.22649E-04,3.217122E-04,
42876.5574305556,5.263301,9.286629E-03,7.298816E-03,8.497913E-03,4.912369E-03,6.390423E-03,5.296743E-03,1.614169E-03,2.129023E-03,9.048241E-03,7.117613E-03,8.275679E-03,4.824142E-03,6.252678E-03,5.196298E-03,1.574778E-03,2.163972E-03,1.427872E-03,1.103291E-03,1.297327E-03,7.288686E-04,9.579445E-04,7.889277E-04,2.319261E-04,3.186999E-04,1.392742E-03,1.076588E-03,1.264577E-03,7.158669E-04,9.376457E-04,7.741255E-04,2.319261E-04,3.186999E-04,
42876.5574305556,5.263301,9.410396E-03,7.474889E-03,8.565976E-03,5.007194E-03,6.834459E-03,5.039197E-03,1.615034E-03,2.194434E-03,9.164885E-03,7.284597E-03,8.339936E-03,4.915537E-03,6.676556E-03,4.948346E-03,1.574778E-03,2.229423E-03,1.446111E-03,1.129238E-03,1.307357E-03,7.428425E-04,1.02338E-03,7.509743E-04,2.319261E-04,3.283392E-04,1.409931E-03,1.101196E-03,1.274046E-03,7.293355E-04,1.000111E-03,7.375861E-04,2.319261E-04,3.283392E-04,
