nm, A
800.000000, 0.000365
799.000000, 0.000575
798.000000, 0.000625
797.000000, 0.000627
796.000000, 0.000590
795.000000, 0.000665
794.000000, 0.000764
793.000000, 0.000797
792.000000, 0.000855
791.000000, 0.000817
790.000000, 0.000738
789.000000, 0.000935
788.000000, 0.000865
787.000000, 0.001086
786.000000, 0.001044
785.000000, 0.000961
784.000000, 0.001180
783.000000, 0.001089
782.000000, 0.001105
781.000000, 0.001199
780.000000, 0.001242
779.000000, 0.001097
778.000000, 0.001176
777.000000, 0.001199
776.000000, 0.001290
775.000000, 0.001250
774.000000, 0.001303
773.000000, 0.001283
772.000000, 0.001342
771.000000, 0.001341
770.000000, 0.001269
769.000000, 0.001363
768.000000, 0.001490
767.000000, 0.001445
766.000000, 0.001464
765.000000, 0.001434
764.000000, 0.001466
763.000000, 0.001481
762.000000, 0.001550
761.000000, 0.001568
760.000000, 0.001624
759.000000, 0.001670
758.000000, 0.001551
757.000000, 0.001681
756.000000, 0.001671
755.000000, 0.001803
754.000000, 0.001628
753.000000, 0.001690
752.000000, 0.001693
751.000000, 0.001707
750.000000, 0.001758
749.000000, 0.001668
748.000000, 0.001577
747.000000, 0.001547
746.000000, 0.001401
745.000000, 0.001447
744.000000, 0.001439
743.000000, 0.001329
742.000000, 0.001136
741.000000, 0.001021
740.000000, 0.000933
739.000000, 0.000761
738.000000, 0.000588
737.000000, 0.000432
736.000000, 0.000265
735.000000, 0.000246
734.000000, 0.000140
733.000000, 0.000114
732.000000, 0.000102
731.000000, 0.000141
730.000000, 0.000161
729.000000, 0.000314
728.000000, 0.000417
727.000000, 0.000412
726.000000, 0.000480
725.000000, 0.000591
724.000000, 0.000626
723.000000, 0.000541
722.000000, 0.000550
721.000000, 0.000616
720.000000, 0.000589
719.000000, 0.000596
718.000000, 0.000621
717.000000, 0.000632
716.000000, 0.000704
715.000000, 0.000660
714.000000, 0.000576
713.000000, 0.000695
712.000000, 0.000726
711.000000, 0.000691
710.000000, 0.000650
709.000000, 0.000678
708.000000, 0.000656
707.000000, 0.000660
706.000000, 0.000711
705.000000, 0.000729
704.000000, 0.000776
703.000000, 0.000808
702.000000, 0.000760
701.000000, 0.000812
700.000000, 0.000829
699.000000, 0.000826
698.000000, 0.000830
697.000000, 0.000906
696.000000, 0.000955
695.000000, 0.000946
694.000000, 0.000947
693.000000, 0.001013
692.000000, 0.001021
691.000000, 0.001012
690.000000, 0.001069
689.000000, 0.001151
688.000000, 0.001069
687.000000, 0.001034
686.000000, 0.001095
685.000000, 0.001112
684.000000, 0.001153
683.000000, 0.001224
682.000000, 0.001269
681.000000, 0.001259
680.000000, 0.001256
679.000000, 0.001227
678.000000, 0.001288
677.000000, 0.001335
676.000000, 0.001306
675.000000, 0.001348
674.000000, 0.001376
673.000000, 0.001351
672.000000, 0.001360
671.000000, 0.001417
670.000000, 0.001428
669.000000, 0.001390
668.000000, 0.001385
667.000000, 0.001413
666.000000, 0.001429
665.000000, 0.001433
664.000000, 0.001410
663.000000, 0.001424
662.000000, 0.001451
661.000000, 0.001421
660.000000, 0.001382
659.000000, 0.001440
658.000000, 0.001494
657.000000, 0.001450
656.000000, 0.001429
655.000000, 0.001465
654.000000, 0.001493
653.000000, 0.001529
652.000000, 0.001564
651.000000, 0.001595
650.000000, 0.001650
649.000000, 0.001655
648.000000, 0.001637
647.000000, 0.001683
646.000000, 0.001697
645.000000, 0.001683
644.000000, 0.001671
643.000000, 0.001683
642.000000, 0.001717
