nm, A
800.000000, 0.016042
799.000000, 0.016279
798.000000, 0.016241
797.000000, 0.016165
796.000000, 0.016159
795.000000, 0.016074
794.000000, 0.015900
793.000000, 0.018453
792.000000, 0.025904
791.000000, 0.025688
790.000000, 0.026907
789.000000, 0.027292
788.000000, 0.027397
787.000000, 0.027483
786.000000, 0.027454
785.000000, 0.027541
784.000000, 0.027653
783.000000, 0.027661
782.000000, 0.027669
781.000000, 0.027695
780.000000, 0.027659
779.000000, 0.027653
778.000000, 0.027734
777.000000, 0.027783
776.000000, 0.027771
775.000000, 0.027680
774.000000, 0.027829
773.000000, 0.027653
772.000000, 0.027688
771.000000, 0.027801
770.000000, 0.027826
769.000000, 0.027837
768.000000, 0.027765
767.000000, 0.027723
766.000000, 0.027731
765.000000, 0.027782
764.000000, 0.027794
763.000000, 0.027740
762.000000, 0.027666
761.000000, 0.027686
760.000000, 0.027730
759.000000, 0.027682
758.000000, 0.027788
757.000000, 0.027738
756.000000, 0.027696
755.000000, 0.027647
754.000000, 0.027607
753.000000, 0.027642
752.000000, 0.027382
751.000000, 0.023826
750.000000, 0.024577
749.000000, 0.024405
748.000000, 0.025775
747.000000, 0.025526
746.000000, 0.025596
745.000000, 0.025528
744.000000, 0.025434
743.000000, 0.025364
742.000000, 0.025311
741.000000, 0.025246
740.000000, 0.025186
739.000000, 0.025068
738.000000, 0.024947
737.000000, 0.024933
736.000000, 0.024942
735.000000, 0.024863
734.000000, 0.024907
733.000000, 0.025056
732.000000, 0.025160
731.000000, 0.025144
730.000000, 0.024858
729.000000, 0.025227
728.000000, 0.024412
727.000000, 0.025054
726.000000, 0.024933
725.000000, 0.024993
724.000000, 0.025009
723.000000, 0.024951
722.000000, 0.025050
721.000000, 0.025041
720.000000, 0.025044
719.000000, 0.025046
718.000000, 0.025146
717.000000, 0.025202
716.000000, 0.025269
715.000000, 0.025222
714.000000, 0.025377
713.000000, 0.025451
712.000000, 0.025433
711.000000, 0.025374
710.000000, 0.025463
709.000000, 0.025519
708.000000, 0.025616
707.000000, 0.025631
706.000000, 0.025561
705.000000, 0.025729
704.000000, 0.025778
703.000000, 0.025687
702.000000, 0.025827
701.000000, 0.025774
700.000000, 0.025927
699.000000, 0.025863
698.000000, 0.025937
697.000000, 0.026034
696.000000, 0.026033
695.000000, 0.026092
694.000000, 0.026133
693.000000, 0.026201
692.000000, 0.026298
691.000000, 0.026321
690.000000, 0.026453
689.000000, 0.026965
688.000000, 0.026429
687.000000, 0.026529
686.000000, 0.026617
685.000000, 0.026676
684.000000, 0.026729
683.000000, 0.026843
682.000000, 0.026823
681.000000, 0.026847
680.000000, 0.026877
679.000000, 0.026968
678.000000, 0.027006
677.000000, 0.027141
676.000000, 0.027151
675.000000, 0.027285
674.000000, 0.027379
673.000000, 0.027406
672.000000, 0.027398
671.000000, 0.027485
670.000000, 0.027504
669.000000, 0.027523
668.000000, 0.027623
667.000000, 0.027713
666.000000, 0.027734
665.000000, 0.027840
664.000000, 0.027796
663.000000, 0.027936
662.000000, 0.028023
661.000000, 0.028043
660.000000, 0.028097
659.000000, 0.028205
658.000000, 0.028205
657.000000, 0.028300
656.000000, 0.028365
655.000000, 0.028473
654.000000, 0.028569
653.000000, 0.028634
652.000000, 0.028686
651.000000, 0.028764
650.000000, 0.028889
649.000000, 0.028911
648.000000, 0.028979
647.000000, 0.029131
646.000000, 0.029171
645.000000, 0.029274
644.000000, 0.029327
643.000000, 0.029416
642.000000, 0.029502
641.000000, 0.029647
640.000000, 0.029688
639.000000, 0.029771
638.000000, 0.029893
637.000000, 0.029876
636.000000, 0.029946
635.000000, 0.030100
634.000000, 0.030255
633.000000, 0.030300
632.000000, 0.030337
631.000000, 0.030496
630.000000, 0.030593
629.000000, 0.030689
628.000000, 0.030712
627.000000, 0.030888
626.000000, 0.031003
625.000000, 0.031071
624.000000, 0.031154
623.000000, 0.031263
622.000000, 0.031349
621.000000, 0.031459
620.000000, 0.031598
619.000000, 0.031708
618.000000, 0.031753
617.000000, 0.031908
616.000000, 0.031978
615.000000, 0.032090
614.000000, 0.032195
613.000000, 0.032343
612.000000, 0.032481
611.000000, 0.032551
610.000000, 0.032666
609.000000, 0.032753
608.000000, 0.032835
607.000000, 0.032980
606.000000, 0.033079
605.000000, 0.033145
604.000000, 0.033264
603.000000, 0.033509
602.000000, 0.033624
601.000000, 0.033610
600.000000, 0.033793
599.000000, 0.033941
598.000000, 0.034082
597.000000, 0.034205
596.000000, 0.034344
595.000000, 0.034493
