nm, A
800.000000, -0.017000
799.000000, -0.018823
798.000000, -0.018980
797.000000, -0.019676
796.000000, -0.017901
795.000000, -0.018310
794.000000, -0.019041
793.000000, -0.018216
792.000000, -0.017529
791.000000, -0.018408
790.000000, -0.017526
789.000000, -0.018859
788.000000, -0.016447
787.000000, -0.017098
786.000000, -0.018672
785.000000, -0.014448
784.000000, -0.017133
783.000000, -0.016649
782.000000, -0.017320
781.000000, -0.017720
780.000000, -0.015406
779.000000, -0.016765
778.000000, -0.016959
777.000000, -0.016694
776.000000, -0.016274
775.000000, -0.015884
774.000000, -0.015676
773.000000, -0.016188
772.000000, -0.016762
771.000000, -0.016189
770.000000, -0.015954
769.000000, -0.015947
768.000000, -0.016288
767.000000, -0.015708
766.000000, -0.016351
765.000000, -0.015737
764.000000, -0.015642
763.000000, -0.015390
762.000000, -0.015734
761.000000, -0.016033
760.000000, -0.015001
759.000000, -0.014797
758.000000, -0.015022
757.000000, -0.014217
756.000000, -0.014168
755.000000, -0.014731
754.000000, -0.013020
753.000000, -0.015035
752.000000, -0.013884
751.000000, -0.013997
750.000000, -0.015210
749.000000, -0.013914
748.000000, -0.014272
747.000000, -0.015034
746.000000, -0.014720
745.000000, -0.013894
744.000000, -0.013703
743.000000, -0.013698
742.000000, -0.013389
741.000000, -0.013775
740.000000, -0.013619
739.000000, -0.014434
738.000000, -0.014371
737.000000, -0.012975
736.000000, -0.013953
735.000000, -0.013262
734.000000, -0.012059
733.000000, -0.013546
732.000000, -0.013409
731.000000, -0.013431
730.000000, -0.013014
729.000000, -0.013374
728.000000, -0.013182
727.000000, -0.014244
726.000000, -0.012837
725.000000, -0.013444
724.000000, -0.013465
723.000000, -0.012974
722.000000, -0.012663
721.000000, -0.013032
720.000000, -0.012758
719.000000, -0.013201
718.000000, -0.012885
717.000000, -0.013442
716.000000, -0.013560
715.000000, -0.013364
714.000000, -0.013586
713.000000, -0.013437
712.000000, -0.013664
711.000000, -0.013668
710.000000, -0.013595
709.000000, -0.014103
708.000000, -0.013746
707.000000, -0.014200
706.000000, -0.013897
705.000000, -0.013529
704.000000, -0.013403
703.000000, -0.012980
702.000000, -0.013166
701.000000, -0.013850
700.000000, -0.014024
699.000000, -0.014321
698.000000, -0.012663
697.000000, -0.013881
696.000000, -0.013724
695.000000, -0.013276
694.000000, -0.013524
693.000000, -0.013190
692.000000, -0.013908
691.000000, -0.013073
690.000000, -0.012112
689.000000, -0.012976
688.000000, -0.012941
687.000000, -0.012912
686.000000, -0.012693
685.000000, -0.012138
684.000000, -0.012151
683.000000, -0.011928
682.000000, -0.012413
681.000000, -0.012357
680.000000, -0.011485
679.000000, -0.011875
678.000000, -0.011685
677.000000, -0.010780
676.000000, -0.010829
675.000000, -0.010842
674.000000, -0.011310
673.000000, -0.010683
672.000000, -0.010775
671.000000, -0.010429
670.000000, -0.010600
669.000000, -0.009953
668.000000, -0.009445
667.000000, -0.009012
666.000000, -0.009557
665.000000, -0.008826
664.000000, -0.008709
663.000000, -0.008510
662.000000, -0.008066
661.000000, -0.008128
660.000000, -0.007261
659.000000, -0.007283
658.000000, -0.007667
657.000000, -0.007104
656.000000, -0.006488
655.000000, -0.006624
654.000000, -0.006035
653.000000, -0.006318
652.000000, -0.006846
651.000000, -0.006460
650.000000, -0.005711
649.000000, -0.005037
648.000000, -0.005467
647.000000, -0.004755
646.000000, -0.004944
645.000000, -0.005002
644.000000, -0.004854
643.000000, -0.004248
642.000000, -0.004198
641.000000, -0.003837
640.000000, -0.003628
639.000000, -0.003186
638.000000, -0.003198
637.000000, -0.002962
636.000000, -0.002820
635.000000, -0.002716
634.000000, -0.002058
633.000000, -0.001842
632.000000, -0.001390
631.000000, -0.001145
630.000000, -0.001093
629.000000, -0.000851
628.000000, -0.000285
627.000000, 0.000110
626.000000, 0.000011
625.000000, -0.000201
624.000000, 0.000008
623.000000, 0.000103
622.000000, 0.000621
621.000000, 0.001223
620.000000, 0.001482
619.000000, 0.001696
618.000000, 0.001707
617.000000, 0.001687
616.000000, 0.002141
615.000000, 0.002925
614.000000, 0.002684
613.000000, 0.003102
612.000000, 0.003359
611.000000, 0.003722
610.000000, 0.003987
609.000000, 0.004331
608.000000, 0.004669
607.000000, 0.004740
606.000000, 0.005100
605.000000, 0.005114
604.000000, 0.005534
603.000000, 0.005817
602.000000, 0.005905
601.000000, 0.006313
600.000000, 0.006897
599.000000, 0.006818
598.000000, 0.007420
597.000000, 0.007810
596.000000, 0.007891
595.000000, 0.008194
594.000000, 0.008396
593.000000, 0.008998
592.000000, 0.009348
591.000000, 0.009387
590.000000, 0.009657
589.000000, 0.010117
588.000000, 0.010686
587.000000, 0.010987
586.000000, 0.011316
585.000000, 0.011688
584.000000, 0.012128
583.000000, 0.012346
582.000000, 0.012747
581.000000, 0.013284
580.000000, 0.013724
579.000000, 0.013950
578.000000, 0.014101
577.000000, 0.014694
576.000000, 0.015242
575.000000, 0.015613
574.000000, 0.016021
573.000000, 0.016174
572.000000, 0.016628
571.000000, 0.017105
570.000000, 0.017476
569.000000, 0.017937
568.000000, 0.018393
567.000000, 0.018806
566.000000, 0.019504
565.000000, 0.019853
564.000000, 0.020360
563.000000, 0.020924
562.000000, 0.021554
561.000000, 0.021726
560.000000, 0.022103
559.000000, 0.022734
558.000000, 0.023359
557.000000, 0.024007
556.000000, 0.024392
555.000000, 0.024818
554.000000, 0.025409
553.000000, 0.025864
552.000000, 0.026357
551.000000, 0.026758
550.000000, 0.027467
549.000000, 0.028254
548.000000, 0.028837
547.000000, 0.029481
546.000000, 0.030016
545.000000, 0.030510
544.000000, 0.031276
543.000000, 0.031795
542.000000, 0.032087
541.000000, 0.032802
540.000000, 0.033461
539.000000, 0.034011
538.000000, 0.034885
537.000000, 0.035472
536.000000, 0.035919
535.000000, 0.036618
534.000000, 0.037302
533.000000, 0.037916
532.000000, 0.038658
531.000000, 0.039277
530.000000, 0.039774
529.000000, 0.040660
528.000000, 0.041369
527.000000, 0.041972
526.000000, 0.042619
525.000000, 0.043318
524.000000, 0.043843
523.000000, 0.044528
522.000000, 0.045322
521.000000, 0.045984
520.000000, 0.046812
519.000000, 0.047651
518.000000, 0.048380
517.000000, 0.049087
516.000000, 0.049658
515.000000, 0.050452
514.000000, 0.051455
513.000000, 0.052297
512.000000, 0.052928
511.000000, 0.053463
510.000000, 0.054458
509.000000, 0.055525
508.000000, 0.056119
507.000000, 0.056723
506.000000, 0.057550
505.000000, 0.058178
504.000000, 0.058717
503.000000, 0.059610
502.000000, 0.060702
501.000000, 0.061830
500.000000, 0.062849
499.000000, 0.063541
498.000000, 0.064520
497.000000, 0.065287
496.000000, 0.065812
495.000000, 0.066705
494.000000, 0.067783
493.000000, 0.068672
492.000000, 0.069296
491.000000, 0.070288
490.000000, 0.071429
489.000000, 0.072450
488.000000, 0.073255
487.000000, 0.074180
486.000000, 0.075171
485.000000, 0.075931
484.000000, 0.076994
483.000000, 0.077903
482.000000, 0.078598
481.000000, 0.079474
480.000000, 0.080569
479.000000, 0.081491
478.000000, 0.082304
477.000000, 0.083194
476.000000, 0.084055
475.000000, 0.085164
474.000000, 0.086357
473.000000, 0.087572
472.000000, 0.088811
471.000000, 0.089909
470.000000, 0.091154
469.000000, 0.092089
468.000000, 0.092913
467.000000, 0.093829
466.000000, 0.094562
465.000000, 0.095320
