nm, A
800.000000, -0.037470
799.000000, -0.035885
798.000000, -0.036449
797.000000, -0.037268
796.000000, -0.034280
795.000000, -0.035275
794.000000, -0.036555
793.000000, -0.037287
792.000000, -0.036096
791.000000, -0.035147
790.000000, -0.035003
789.000000, -0.034716
788.000000, -0.036032
787.000000, -0.037078
786.000000, -0.035750
785.000000, -0.035963
784.000000, -0.036493
783.000000, -0.035146
782.000000, -0.035327
781.000000, -0.034360
780.000000, -0.034645
779.000000, -0.035395
778.000000, -0.035681
777.000000, -0.035412
776.000000, -0.035417
775.000000, -0.035607
774.000000, -0.035646
773.000000, -0.034156
772.000000, -0.034183
771.000000, -0.033866
770.000000, -0.033694
769.000000, -0.033991
768.000000, -0.035015
767.000000, -0.035385
766.000000, -0.034733
765.000000, -0.034989
764.000000, -0.034314
763.000000, -0.032850
762.000000, -0.033068
761.000000, -0.034429
760.000000, -0.033717
759.000000, -0.033217
758.000000, -0.034404
757.000000, -0.034561
756.000000, -0.034002
755.000000, -0.034095
754.000000, -0.033654
753.000000, -0.034117
752.000000, -0.033299
751.000000, -0.033034
750.000000, -0.034958
749.000000, -0.034016
748.000000, -0.034584
747.000000, -0.034785
746.000000, -0.033874
745.000000, -0.033845
744.000000, -0.033761
743.000000, -0.033872
742.000000, -0.032997
741.000000, -0.033541
740.000000, -0.034526
739.000000, -0.033748
738.000000, -0.034086
737.000000, -0.034583
736.000000, -0.033251
735.000000, -0.033527
734.000000, -0.033749
733.000000, -0.033506
732.000000, -0.034325
731.000000, -0.033974
730.000000, -0.033388
729.000000, -0.033541
728.000000, -0.033060
727.000000, -0.033713
726.000000, -0.033853
725.000000, -0.033572
724.000000, -0.034628
723.000000, -0.034308
722.000000, -0.034495
721.000000, -0.034510
720.000000, -0.034391
719.000000, -0.034609
718.000000, -0.034275
717.000000, -0.034044
716.000000, -0.034354
715.000000, -0.034740
714.000000, -0.034871
713.000000, -0.034828
712.000000, -0.035323
711.000000, -0.035343
710.000000, -0.035729
709.000000, -0.035716
708.000000, -0.035389
707.000000, -0.034719
706.000000, -0.035366
705.000000, -0.035014
704.000000, -0.035275
703.000000, -0.035238
702.000000, -0.035096
701.000000, -0.034542
700.000000, -0.034444
699.000000, -0.034852
698.000000, -0.034837
697.000000, -0.034247
696.000000, -0.034660
695.000000, -0.034315
694.000000, -0.034626
693.000000, -0.034130
692.000000, -0.033656
691.000000, -0.033529
690.000000, -0.032452
689.000000, -0.032869
688.000000, -0.032827
687.000000, -0.031777
686.000000, -0.031437
685.000000, -0.031132
684.000000, -0.030454
683.000000, -0.029536
682.000000, -0.029001
681.000000, -0.028073
680.000000, -0.026209
679.000000, -0.025416
678.000000, -0.023890
677.000000, -0.022726
676.000000, -0.021462
675.000000, -0.019734
674.000000, -0.017476
673.000000, -0.016233
672.000000, -0.014810
671.000000, -0.013339
670.000000, -0.011968
669.000000, -0.010967
668.000000, -0.010089
667.000000, -0.009388
666.000000, -0.008583
665.000000, -0.008646
664.000000, -0.008349
663.000000, -0.008046
662.000000, -0.008147
661.000000, -0.008658
660.000000, -0.008793
659.000000, -0.008944
658.000000, -0.009779
657.000000, -0.010806
656.000000, -0.011169
655.000000, -0.011465
654.000000, -0.011743
653.000000, -0.013269
652.000000, -0.014817
651.000000, -0.015366
650.000000, -0.016823
649.000000, -0.016912
648.000000, -0.017075
647.000000, -0.018041
646.000000, -0.018336
645.000000, -0.018533
644.000000, -0.018790
643.000000, -0.018944
642.000000, -0.018995
641.000000, -0.018989
640.000000, -0.018532
639.000000, -0.017947
638.000000, -0.017656
637.000000, -0.017753
636.000000, -0.017721
635.000000, -0.017518
634.000000, -0.017506
633.000000, -0.017392
632.000000, -0.016658
631.000000, -0.016457
630.000000, -0.016658
629.000000, -0.016370
628.000000, -0.015906
627.000000, -0.015594
626.000000, -0.015294
625.000000, -0.015307
624.000000, -0.015445
623.000000, -0.015218
622.000000, -0.015105
621.000000, -0.014546
620.000000, -0.014098
619.000000, -0.014141
618.000000, -0.014070
617.000000, -0.014022
616.000000, -0.013960
