nm, A
800.000000, -0.036640
799.000000, -0.036187
798.000000, -0.036985
797.000000, -0.037497
796.000000, -0.035808
795.000000, -0.036499
794.000000, -0.038194
793.000000, -0.037956
792.000000, -0.036439
791.000000, -0.037470
790.000000, -0.036701
789.000000, -0.034643
788.000000, -0.035295
787.000000, -0.036079
786.000000, -0.035956
785.000000, -0.036675
784.000000, -0.035520
783.000000, -0.035118
782.000000, -0.037049
781.000000, -0.035444
780.000000, -0.035081
779.000000, -0.036626
778.000000, -0.037253
777.000000, -0.036744
776.000000, -0.037012
775.000000, -0.035928
774.000000, -0.036743
773.000000, -0.036356
772.000000, -0.036922
771.000000, -0.036026
770.000000, -0.036106
769.000000, -0.035078
768.000000, -0.035693
767.000000, -0.034837
766.000000, -0.037043
765.000000, -0.035599
764.000000, -0.035535
763.000000, -0.035684
762.000000, -0.036179
761.000000, -0.034502
760.000000, -0.035925
759.000000, -0.035516
758.000000, -0.036068
757.000000, -0.035404
756.000000, -0.035041
755.000000, -0.035786
754.000000, -0.035304
753.000000, -0.034900
752.000000, -0.035630
751.000000, -0.035312
750.000000, -0.035795
749.000000, -0.034511
748.000000, -0.034630
747.000000, -0.034805
746.000000, -0.035338
745.000000, -0.034943
744.000000, -0.035271
743.000000, -0.036071
742.000000, -0.036227
741.000000, -0.035778
740.000000, -0.035288
739.000000, -0.035325
738.000000, -0.035931
737.000000, -0.035979
736.000000, -0.035752
735.000000, -0.035140
734.000000, -0.035771
733.000000, -0.035756
732.000000, -0.035935
731.000000, -0.035162
730.000000, -0.036322
729.000000, -0.036071
728.000000, -0.035857
727.000000, -0.036681
726.000000, -0.035824
725.000000, -0.036169
724.000000, -0.035922
723.000000, -0.036202
722.000000, -0.035278
721.000000, -0.036572
720.000000, -0.036295
719.000000, -0.036441
718.000000, -0.036875
717.000000, -0.036709
716.000000, -0.037214
715.000000, -0.036210
714.000000, -0.036140
713.000000, -0.037072
712.000000, -0.037616
711.000000, -0.037447
710.000000, -0.037653
709.000000, -0.037048
708.000000, -0.036988
707.000000, -0.037003
706.000000, -0.037219
705.000000, -0.037856
704.000000, -0.038139
703.000000, -0.037553
702.000000, -0.037403
701.000000, -0.037900
700.000000, -0.037898
699.000000, -0.037398
698.000000, -0.037588
697.000000, -0.038195
696.000000, -0.037982
695.000000, -0.038656
694.000000, -0.037778
693.000000, -0.038047
692.000000, -0.038213
691.000000, -0.037736
690.000000, -0.038506
689.000000, -0.037948
688.000000, -0.037705
687.000000, -0.037372
686.000000, -0.036951
685.000000, -0.037089
684.000000, -0.037565
683.000000, -0.037300
682.000000, -0.036981
681.000000, -0.036662
680.000000, -0.036751
679.000000, -0.037073
678.000000, -0.036992
677.000000, -0.036119
676.000000, -0.036305
675.000000, -0.035796
674.000000, -0.035969
673.000000, -0.036102
672.000000, -0.036116
671.000000, -0.035900
670.000000, -0.035636
669.000000, -0.035731
668.000000, -0.035238
667.000000, -0.035111
666.000000, -0.035186
665.000000, -0.035087
664.000000, -0.035348
663.000000, -0.034910
662.000000, -0.034509
661.000000, -0.034869
660.000000, -0.034176
659.000000, -0.033783
658.000000, -0.033803
657.000000, -0.033778
656.000000, -0.033643
655.000000, -0.032629
654.000000, -0.032860
653.000000, -0.032438
652.000000, -0.033076
651.000000, -0.033246
650.000000, -0.032742
649.000000, -0.032580
648.000000, -0.032055
647.000000, -0.031754
646.000000, -0.031479
645.000000, -0.031484
644.000000, -0.031791
643.000000, -0.031301
642.000000, -0.031135
641.000000, -0.030567
640.000000, -0.030542
639.000000, -0.031013
638.000000, -0.030424
637.000000, -0.030180
636.000000, -0.030216
635.000000, -0.029708
634.000000, -0.029602
633.000000, -0.029324
632.000000, -0.029166
631.000000, -0.028679
630.000000, -0.028611
629.000000, -0.028565
628.000000, -0.028710
627.000000, -0.028363
626.000000, -0.028129
625.000000, -0.027840
624.000000, -0.028055
623.000000, -0.027952
622.000000, -0.027594
621.000000, -0.027393
620.000000, -0.026715
619.000000, -0.026655
618.000000, -0.026653
617.000000, -0.026431
616.000000, -0.026045
615.000000, -0.025795
614.000000, -0.025081
613.000000, -0.025288
612.000000, -0.025352
611.000000, -0.025251
610.000000, -0.024867
609.000000, -0.024745
608.000000, -0.024226
607.000000, -0.024247
606.000000, -0.024293
