nm, A
800.000000, -0.038364
799.000000, -0.039031
798.000000, -0.038865
797.000000, -0.039742
796.000000, -0.038318
795.000000, -0.038265
794.000000, -0.037737
793.000000, -0.037544
792.000000, -0.039971
791.000000, -0.036835
790.000000, -0.038164
789.000000, -0.037549
788.000000, -0.037989
787.000000, -0.040421
786.000000, -0.038434
785.000000, -0.037697
784.000000, -0.038739
783.000000, -0.037952
782.000000, -0.038297
781.000000, -0.037379
780.000000, -0.036790
779.000000, -0.037552
778.000000, -0.038469
777.000000, -0.038709
776.000000, -0.037619
775.000000, -0.037241
774.000000, -0.036876
773.000000, -0.036387
772.000000, -0.037217
771.000000, -0.037088
770.000000, -0.037000
769.000000, -0.036956
768.000000, -0.038234
767.000000, -0.037136
766.000000, -0.037677
765.000000, -0.037303
764.000000, -0.037108
763.000000, -0.036177
762.000000, -0.036831
761.000000, -0.036363
760.000000, -0.037344
759.000000, -0.036773
758.000000, -0.036102
757.000000, -0.037919
756.000000, -0.035909
755.000000, -0.036337
754.000000, -0.035976
753.000000, -0.037502
752.000000, -0.036166
751.000000, -0.036553
750.000000, -0.037757
749.000000, -0.036810
748.000000, -0.038142
747.000000, -0.037594
746.000000, -0.037306
745.000000, -0.037191
744.000000, -0.036614
743.000000, -0.037022
742.000000, -0.036919
741.000000, -0.037154
740.000000, -0.037280
739.000000, -0.037185
738.000000, -0.037007
737.000000, -0.037524
736.000000, -0.036214
735.000000, -0.036424
734.000000, -0.036493
733.000000, -0.037430
732.000000, -0.036999
731.000000, -0.036841
730.000000, -0.036892
729.000000, -0.037683
728.000000, -0.036984
727.000000, -0.037196
726.000000, -0.036934
725.000000, -0.037109
724.000000, -0.037960
723.000000, -0.037562
722.000000, -0.037700
721.000000, -0.037308
720.000000, -0.037575
719.000000, -0.037915
718.000000, -0.038004
717.000000, -0.037929
716.000000, -0.038531
715.000000, -0.038042
714.000000, -0.038461
713.000000, -0.038155
712.000000, -0.039510
711.000000, -0.038191
710.000000, -0.038939
709.000000, -0.038983
708.000000, -0.038362
707.000000, -0.038633
706.000000, -0.039100
705.000000, -0.039047
704.000000, -0.039157
703.000000, -0.039007
702.000000, -0.038913
701.000000, -0.039003
700.000000, -0.038542
699.000000, -0.038212
698.000000, -0.038452
697.000000, -0.038403
696.000000, -0.038129
695.000000, -0.038164
694.000000, -0.038462
693.000000, -0.038104
692.000000, -0.038002
691.000000, -0.038074
690.000000, -0.036647
689.000000, -0.036559
688.000000, -0.036809
687.000000, -0.036106
686.000000, -0.035742
685.000000, -0.035350
684.000000, -0.034746
683.000000, -0.033996
682.000000, -0.033545
681.000000, -0.032567
680.000000, -0.031059
679.000000, -0.030209
678.000000, -0.028369
677.000000, -0.027458
676.000000, -0.026375
675.000000, -0.024365
674.000000, -0.022224
673.000000, -0.021272
672.000000, -0.019821
671.000000, -0.018606
670.000000, -0.017464
669.000000, -0.016679
668.000000, -0.016225
667.000000, -0.015098
666.000000, -0.014437
665.000000, -0.014402
664.000000, -0.014285
663.000000, -0.014074
662.000000, -0.014439
661.000000, -0.014419
660.000000, -0.014399
659.000000, -0.014587
658.000000, -0.015658
657.000000, -0.016377
656.000000, -0.016959
655.000000, -0.017065
654.000000, -0.018498
653.000000, -0.019249
652.000000, -0.020210
651.000000, -0.021173
650.000000, -0.022053
649.000000, -0.022059
648.000000, -0.022666
647.000000, -0.023048
646.000000, -0.023593
645.000000, -0.023759
644.000000, -0.023998
643.000000, -0.024614
642.000000, -0.024461
641.000000, -0.024237
640.000000, -0.024143
639.000000, -0.023564
638.000000, -0.023511
637.000000, -0.023234
636.000000, -0.023078
635.000000, -0.023104
634.000000, -0.022946
633.000000, -0.022987
632.000000, -0.022234
631.000000, -0.022125
630.000000, -0.022388
629.000000, -0.022162
628.000000, -0.021744
627.000000, -0.021544
626.000000, -0.020803
625.000000, -0.020877
624.000000, -0.021395
623.000000, -0.020948
622.000000, -0.021206
621.000000, -0.020617
620.000000, -0.020141
619.000000, -0.020120
618.000000, -0.020050
617.000000, -0.019776
616.000000, -0.019893
615.000000, -0.019860
614.000000, -0.019426
613.000000, -0.019027
612.000000, -0.019084
611.000000, -0.019034
610.000000, -0.018996
609.000000, -0.018301
608.000000, -0.018433
607.000000, -0.018348
606.000000, -0.017968
605.000000, -0.018209
604.000000, -0.017898
603.000000, -0.018017
602.000000, -0.017791
601.000000, -0.017590
600.000000, -0.017686
599.000000, -0.017310
598.000000, -0.016861
597.000000, -0.016766
596.000000, -0.016798
595.000000, -0.016638
594.000000, -0.016473
593.000000, -0.016267
592.000000, -0.016073
591.000000, -0.015692
590.000000, -0.015668
589.000000, -0.015224
588.000000, -0.014589
587.000000, -0.014431
586.000000, -0.014221
585.000000, -0.013856
584.000000, -0.013349
583.000000, -0.013176
582.000000, -0.012734
581.000000, -0.012483
580.000000, -0.012027
579.000000, -0.011808
578.000000, -0.011514
577.000000, -0.011500
576.000000, -0.011266
575.000000, -0.010704
574.000000, -0.010331
573.000000, -0.009865
572.000000, -0.009671
571.000000, -0.009333
570.000000, -0.008673
569.000000, -0.008610
568.000000, -0.008526
567.000000, -0.008504
566.000000, -0.008045
565.000000, -0.007432
564.000000, -0.006951
563.000000, -0.006585
562.000000, -0.006698
561.000000, -0.006624
560.000000, -0.006477
559.000000, -0.006093
558.000000, -0.005222
557.000000, -0.004775
556.000000, -0.004505
555.000000, -0.004145
554.000000, -0.003837
553.000000, -0.003028
552.000000, -0.002314
551.000000, -0.001753
550.000000, -0.001296
549.000000, -0.001096
548.000000, -0.000540
547.000000, 0.000146
546.000000, 0.000596
545.000000, 0.001300
544.000000, 0.002068
543.000000, 0.002694
542.000000, 0.003300
541.000000, 0.003755
540.000000, 0.004282
539.000000, 0.005077
538.000000, 0.005854
537.000000, 0.006410
536.000000, 0.007021
535.000000, 0.007744
534.000000, 0.008005
533.000000, 0.008520
532.000000, 0.009384
531.000000, 0.010106
530.000000, 0.010517
529.000000, 0.011182
528.000000, 0.012021
527.000000, 0.012906
526.000000, 0.013785
525.000000, 0.014403
524.000000, 0.014941
523.000000, 0.015535
522.000000, 0.016513
521.000000, 0.017384
520.000000, 0.018055
519.000000, 0.018723
518.000000, 0.019540
517.000000, 0.020561
516.000000, 0.021321
515.000000, 0.022133
514.000000, 0.023138
513.000000, 0.024026
512.000000, 0.025059
511.000000, 0.025894
510.000000, 0.026919
509.000000, 0.027981
508.000000, 0.029002
507.000000, 0.030153
506.000000, 0.031148
505.000000, 0.032267
504.000000, 0.033478
503.000000, 0.034666
502.000000, 0.035785
501.000000, 0.036817
500.000000, 0.038054
499.000000, 0.039421
498.000000, 0.040586
497.000000, 0.041539
496.000000, 0.042322
495.000000, 0.043599
494.000000, 0.044832
493.000000, 0.045695
492.000000, 0.046802
491.000000, 0.047831
490.000000, 0.048932
489.000000, 0.049917
488.000000, 0.050870
487.000000, 0.052022
486.000000, 0.052805
485.000000, 0.053455
484.000000, 0.054435
483.000000, 0.055513
482.000000, 0.056615
481.000000, 0.057514
480.000000, 0.058144
479.000000, 0.058912
478.000000, 0.060025
477.000000, 0.060739
476.000000, 0.061641
475.000000, 0.062770
474.000000, 0.064011
473.000000, 0.065341
472.000000, 0.066501
471.000000, 0.067917
470.000000, 0.069409
469.000000, 0.070311
468.000000, 0.071183
467.000000, 0.072435
466.000000, 0.073686
465.000000, 0.074854
464.000000, 0.075838
463.000000, 0.076854
462.000000, 0.078107
461.000000, 0.079212
460.000000, 0.080494
459.000000, 0.081612
458.000000, 0.082650
457.000000, 0.083854
456.000000, 0.084405
455.000000, 0.085095
454.000000, 0.086271
453.000000, 0.087237
452.000000, 0.087834
451.000000, 0.088697
450.000000, 0.089478
449.000000, 0.090198
448.000000, 0.091054
447.000000, 0.092273
446.000000, 0.093747
445.000000, 0.094932
444.000000, 0.095883
443.000000, 0.097455
442.000000, 0.099057
441.000000, 0.100682
440.000000, 0.102198
439.000000, 0.103755
438.000000, 0.105137
437.000000, 0.106954
436.000000, 0.108937
435.000000, 0.110525
434.000000, 0.112476
433.000000, 0.114252
432.000000, 0.115803
431.000000, 0.116917
430.000000, 0.118109
429.000000, 0.119900
428.000000, 0.120768
427.000000, 0.121679
426.000000, 0.123369
425.000000, 0.124491
424.000000, 0.125244
423.000000, 0.126069
422.000000, 0.127039
421.000000, 0.128055
420.000000, 0.129331
419.000000, 0.130393
418.000000, 0.131528
417.000000, 0.132793
416.000000, 0.134027
415.000000, 0.135926
414.000000, 0.137155
413.000000, 0.138464
412.000000, 0.140216
411.000000, 0.141456
410.000000, 0.142652
409.000000, 0.143414
408.000000, 0.144787
407.000000, 0.146475
406.000000, 0.147223
405.000000, 0.148952
404.000000, 0.150798
403.000000, 0.151127
402.000000, 0.151866
401.000000, 0.153346
400.000000, 0.154447
399.000000, 0.155483
398.000000, 0.157131
397.000000, 0.158721
396.000000, 0.159896
395.000000, 0.161071
394.000000, 0.161870
393.000000, 0.163551
392.000000, 0.165295
391.000000, 0.166894
390.000000, 0.168239
389.000000, 0.170213
388.000000, 0.172125
387.000000, 0.173447
386.000000, 0.175389
385.000000, 0.177316
384.000000, 0.179630
383.000000, 0.181428
382.000000, 0.183437
381.000000, 0.185508
380.000000, 0.188285
379.000000, 0.189811
378.000000, 0.190811
377.000000, 0.185965
376.000000, 0.188996
375.000000, 0.192540
374.000000, 0.197445
