nm; A
800.000000; 0.052403
799.000000; 0.054110
798.000000; 0.052605
797.000000; 0.053170
796.000000; 0.053939
795.000000; 0.053647
794.000000; 0.054143
793.000000; 0.054271
792.000000; 0.054421
791.000000; 0.053833
790.000000; 0.054523
789.000000; 0.054887
788.000000; 0.056190
787.000000; 0.056158
786.000000; 0.055201
785.000000; 0.056487
784.000000; 0.056818
783.000000; 0.055738
782.000000; 0.056599
781.000000; 0.057592
780.000000; 0.056355
779.000000; 0.057417
778.000000; 0.057271
777.000000; 0.057323
776.000000; 0.057575
775.000000; 0.057935
774.000000; 0.058720
773.000000; 0.058881
772.000000; 0.058141
771.000000; 0.059546
770.000000; 0.059223
769.000000; 0.059395
768.000000; 0.060140
767.000000; 0.060304
766.000000; 0.059639
765.000000; 0.059699
764.000000; 0.059995
763.000000; 0.060816
762.000000; 0.061453
761.000000; 0.061184
760.000000; 0.061720
759.000000; 0.062134
758.000000; 0.062121
757.000000; 0.062870
756.000000; 0.063061
755.000000; 0.063312
754.000000; 0.063738
753.000000; 0.063693
752.000000; 0.063917
751.000000; 0.064389
750.000000; 0.064108
749.000000; 0.064909
748.000000; 0.064974
747.000000; 0.065738
746.000000; 0.065344
745.000000; 0.065991
744.000000; 0.066878
743.000000; 0.066757
742.000000; 0.067214
741.000000; 0.067383
740.000000; 0.067128
739.000000; 0.066949
738.000000; 0.068060
737.000000; 0.068389
736.000000; 0.068650
735.000000; 0.068588
734.000000; 0.068562
733.000000; 0.068963
732.000000; 0.069299
731.000000; 0.069726
730.000000; 0.070451
729.000000; 0.070615
728.000000; 0.070589
727.000000; 0.070340
726.000000; 0.070796
725.000000; 0.071377
724.000000; 0.071148
723.000000; 0.071614
722.000000; 0.072153
721.000000; 0.072191
720.000000; 0.072535
719.000000; 0.072634
718.000000; 0.073085
717.000000; 0.073784
716.000000; 0.074402
715.000000; 0.074573
714.000000; 0.074243
713.000000; 0.075045
712.000000; 0.075345
711.000000; 0.075447
710.000000; 0.075763
709.000000; 0.076329
708.000000; 0.076378
707.000000; 0.076740
706.000000; 0.077288
705.000000; 0.077743
704.000000; 0.078491
703.000000; 0.079304
702.000000; 0.080102
701.000000; 0.079847
700.000000; 0.080175
699.000000; 0.080964
698.000000; 0.081523
697.000000; 0.082384
696.000000; 0.083311
695.000000; 0.084328
694.000000; 0.084895
693.000000; 0.085589
692.000000; 0.086721
691.000000; 0.087784
690.000000; 0.088875
689.000000; 0.089881
688.000000; 0.091356
687.000000; 0.093035
686.000000; 0.094144
685.000000; 0.095180
684.000000; 0.096482
683.000000; 0.097572
682.000000; 0.098519
681.000000; 0.099794
680.000000; 0.100610
679.000000; 0.100965
678.000000; 0.101491
677.000000; 0.102004
676.000000; 0.102341
675.000000; 0.102723
674.000000; 0.102849
673.000000; 0.103089
672.000000; 0.103380
671.000000; 0.103096
670.000000; 0.102830
669.000000; 0.102795
668.000000; 0.102459
667.000000; 0.102148
666.000000; 0.101728
665.000000; 0.101559
