nm; A
800.000000; 0.054968
799.000000; 0.055365
798.000000; 0.055344
797.000000; 0.054650
796.000000; 0.055857
795.000000; 0.054395
794.000000; 0.055252
793.000000; 0.056757
792.000000; 0.055773
791.000000; 0.055350
790.000000; 0.056637
789.000000; 0.056839
788.000000; 0.057354
787.000000; 0.057258
786.000000; 0.057090
785.000000; 0.058049
784.000000; 0.058514
783.000000; 0.058074
782.000000; 0.057966
781.000000; 0.058525
780.000000; 0.058691
779.000000; 0.059536
778.000000; 0.060038
777.000000; 0.059548
776.000000; 0.059394
775.000000; 0.060237
774.000000; 0.059921
773.000000; 0.060591
772.000000; 0.059903
771.000000; 0.060944
770.000000; 0.061308
769.000000; 0.061032
768.000000; 0.062361
767.000000; 0.062191
766.000000; 0.061063
765.000000; 0.061196
764.000000; 0.061567
763.000000; 0.063423
762.000000; 0.063071
761.000000; 0.062825
760.000000; 0.063631
759.000000; 0.063825
758.000000; 0.063735
757.000000; 0.064586
756.000000; 0.065192
755.000000; 0.065048
754.000000; 0.065214
753.000000; 0.065315
752.000000; 0.066295
751.000000; 0.066340
750.000000; 0.065810
749.000000; 0.066319
748.000000; 0.067000
747.000000; 0.067458
746.000000; 0.066880
745.000000; 0.067223
744.000000; 0.067880
743.000000; 0.068512
742.000000; 0.068454
741.000000; 0.068420
740.000000; 0.068452
739.000000; 0.068423
738.000000; 0.068973
737.000000; 0.069444
736.000000; 0.069937
735.000000; 0.070469
734.000000; 0.070056
733.000000; 0.070321
732.000000; 0.070471
731.000000; 0.070812
730.000000; 0.071287
729.000000; 0.071742
728.000000; 0.071392
727.000000; 0.071083
726.000000; 0.071750
725.000000; 0.072253
724.000000; 0.072214
723.000000; 0.072631
722.000000; 0.072775
721.000000; 0.072957
720.000000; 0.073610
719.000000; 0.073620
718.000000; 0.074048
717.000000; 0.074316
716.000000; 0.074850
715.000000; 0.075119
714.000000; 0.074716
713.000000; 0.074801
712.000000; 0.075467
711.000000; 0.075693
710.000000; 0.076085
709.000000; 0.076368
708.000000; 0.076609
707.000000; 0.076904
706.000000; 0.077149
705.000000; 0.077475
704.000000; 0.077744
703.000000; 0.078323
702.000000; 0.078683
701.000000; 0.078819
700.000000; 0.078961
699.000000; 0.079376
698.000000; 0.079626
697.000000; 0.080161
696.000000; 0.080741
695.000000; 0.081193
694.000000; 0.081326
693.000000; 0.081252
692.000000; 0.081651
691.000000; 0.081977
690.000000; 0.082038
689.000000; 0.082362
688.000000; 0.083018
687.000000; 0.083378
686.000000; 0.083481
685.000000; 0.083566
684.000000; 0.084173
683.000000; 0.084948
682.000000; 0.084949
681.000000; 0.085265
680.000000; 0.085838
679.000000; 0.086141
678.000000; 0.086397
677.000000; 0.086914
676.000000; 0.087156
675.000000; 0.087678
674.000000; 0.088184
673.000000; 0.088495
