nm; A
800.000000; 0.053062
799.000000; 0.053950
798.000000; 0.053369
797.000000; 0.054589
796.000000; 0.054763
795.000000; 0.054166
794.000000; 0.054469
793.000000; 0.055027
792.000000; 0.053992
791.000000; 0.054112
790.000000; 0.055617
789.000000; 0.055573
788.000000; 0.056156
787.000000; 0.056004
786.000000; 0.055838
785.000000; 0.056797
784.000000; 0.056794
783.000000; 0.056317
782.000000; 0.055945
781.000000; 0.057252
780.000000; 0.057535
779.000000; 0.057984
778.000000; 0.058873
777.000000; 0.058322
776.000000; 0.058264
775.000000; 0.058980
774.000000; 0.059256
773.000000; 0.059634
772.000000; 0.058931
771.000000; 0.059828
770.000000; 0.060208
769.000000; 0.059249
768.000000; 0.061211
767.000000; 0.060467
766.000000; 0.060717
765.000000; 0.060650
764.000000; 0.060565
763.000000; 0.061388
762.000000; 0.062056
761.000000; 0.061793
760.000000; 0.062147
759.000000; 0.062344
758.000000; 0.062718
757.000000; 0.063079
756.000000; 0.063711
755.000000; 0.063154
754.000000; 0.063745
753.000000; 0.064549
752.000000; 0.064595
751.000000; 0.065035
750.000000; 0.064803
749.000000; 0.065276
748.000000; 0.065515
747.000000; 0.066305
746.000000; 0.066120
745.000000; 0.066944
744.000000; 0.067124
743.000000; 0.067747
742.000000; 0.067741
741.000000; 0.068003
740.000000; 0.068010
739.000000; 0.067871
738.000000; 0.068474
737.000000; 0.068396
736.000000; 0.069281
735.000000; 0.069621
734.000000; 0.069122
733.000000; 0.069764
732.000000; 0.069961
731.000000; 0.070128
730.000000; 0.070678
729.000000; 0.070969
728.000000; 0.070930
727.000000; 0.071004
726.000000; 0.071500
725.000000; 0.071750
724.000000; 0.071941
723.000000; 0.072172
722.000000; 0.072729
721.000000; 0.073392
720.000000; 0.073558
719.000000; 0.073661
718.000000; 0.073975
717.000000; 0.074315
716.000000; 0.074390
715.000000; 0.074752
714.000000; 0.075013
713.000000; 0.075459
712.000000; 0.075814
711.000000; 0.076138
710.000000; 0.076775
709.000000; 0.076602
708.000000; 0.077152
707.000000; 0.077470
706.000000; 0.077733
705.000000; 0.078298
704.000000; 0.078829
703.000000; 0.079756
702.000000; 0.080502
701.000000; 0.080585
700.000000; 0.080994
699.000000; 0.081701
698.000000; 0.082147
697.000000; 0.082728
696.000000; 0.083675
695.000000; 0.084429
694.000000; 0.085311
693.000000; 0.086215
692.000000; 0.087217
691.000000; 0.088034
690.000000; 0.089187
689.000000; 0.090277
688.000000; 0.091637
687.000000; 0.093236
686.000000; 0.094383
685.000000; 0.095535
684.000000; 0.096806
683.000000; 0.098013
682.000000; 0.098760
681.000000; 0.099715
680.000000; 0.100943
679.000000; 0.101586
678.000000; 0.101884
677.000000; 0.102334
676.000000; 0.102535
675.000000; 0.103131
674.000000; 0.103394
673.000000; 0.103327
672.000000; 0.103418
671.000000; 0.103193
670.000000; 0.103200
669.000000; 0.103276
668.000000; 0.102880
667.000000; 0.102777
666.000000; 0.102407
665.000000; 0.101949
664.000000; 0.101728
663.000000; 0.101110
662.000000; 0.100718
661.000000; 0.100743
660.000000; 0.100692
659.000000; 0.100769
658.000000; 0.100703
657.000000; 0.100631
656.000000; 0.100574
655.000000; 0.100603
654.000000; 0.100768
653.000000; 0.101631
652.000000; 0.101591
651.000000; 0.101914
650.000000; 0.102511
649.000000; 0.102973
648.000000; 0.103348
647.000000; 0.103523
646.000000; 0.103753
645.000000; 0.103978
644.000000; 0.104614
643.000000; 0.105527
642.000000; 0.105808
641.000000; 0.106253
640.000000; 0.106581
639.000000; 0.106826
638.000000; 0.107429
637.000000; 0.107819
636.000000; 0.108008
635.000000; 0.108703
634.000000; 0.109418
633.000000; 0.109571
632.000000; 0.110134
631.000000; 0.110570
630.000000; 0.111024
629.000000; 0.111403
628.000000; 0.111797
627.000000; 0.112231
626.000000; 0.112918
625.000000; 0.113210
624.000000; 0.113544
623.000000; 0.114227
622.000000; 0.114513
621.000000; 0.114839
620.000000; 0.115260
619.000000; 0.115988
618.000000; 0.116107
617.000000; 0.116675
616.000000; 0.117415
615.000000; 0.117634
614.000000; 0.118017
613.000000; 0.118417
612.000000; 0.118646
611.000000; 0.119384
610.000000; 0.119614
