nm; A
800.000000; 0.054915
799.000000; 0.055777
798.000000; 0.055174
797.000000; 0.055419
796.000000; 0.055900
795.000000; 0.054263
794.000000; 0.055973
793.000000; 0.056250
792.000000; 0.056531
791.000000; 0.055811
790.000000; 0.056700
789.000000; 0.057289
788.000000; 0.058593
787.000000; 0.057908
786.000000; 0.057739
785.000000; 0.059181
784.000000; 0.059004
783.000000; 0.058237
782.000000; 0.058814
781.000000; 0.059024
780.000000; 0.059108
779.000000; 0.059535
778.000000; 0.059915
777.000000; 0.059480
776.000000; 0.059589
775.000000; 0.059682
774.000000; 0.060680
773.000000; 0.061236
772.000000; 0.060550
771.000000; 0.061369
770.000000; 0.061535
769.000000; 0.061021
768.000000; 0.062717
767.000000; 0.062420
766.000000; 0.061972
765.000000; 0.062320
764.000000; 0.062381
763.000000; 0.064067
762.000000; 0.064029
761.000000; 0.063442
760.000000; 0.064083
759.000000; 0.064133
758.000000; 0.064103
757.000000; 0.064763
756.000000; 0.064918
755.000000; 0.064580
754.000000; 0.065099
753.000000; 0.065606
752.000000; 0.066069
751.000000; 0.066736
750.000000; 0.067002
749.000000; 0.066639
748.000000; 0.067389
747.000000; 0.067794
746.000000; 0.067504
745.000000; 0.067430
744.000000; 0.068423
743.000000; 0.068852
742.000000; 0.068832
741.000000; 0.068836
740.000000; 0.068847
739.000000; 0.069639
738.000000; 0.069808
737.000000; 0.069883
736.000000; 0.070372
735.000000; 0.070395
734.000000; 0.070630
733.000000; 0.070455
732.000000; 0.070640
731.000000; 0.071014
730.000000; 0.071578
729.000000; 0.072119
728.000000; 0.071936
727.000000; 0.071800
726.000000; 0.072324
725.000000; 0.072650
724.000000; 0.072766
723.000000; 0.072996
722.000000; 0.073311
721.000000; 0.073483
720.000000; 0.073812
719.000000; 0.073882
718.000000; 0.073995
717.000000; 0.074340
716.000000; 0.075022
715.000000; 0.075398
714.000000; 0.075421
713.000000; 0.075645
712.000000; 0.075741
711.000000; 0.075939
710.000000; 0.076674
709.000000; 0.076671
708.000000; 0.076677
707.000000; 0.076946
706.000000; 0.077471
705.000000; 0.077786
704.000000; 0.078284
703.000000; 0.078668
702.000000; 0.079065
701.000000; 0.079262
700.000000; 0.079436
699.000000; 0.079659
698.000000; 0.079656
697.000000; 0.080162
696.000000; 0.080955
695.000000; 0.081193
694.000000; 0.081179
693.000000; 0.081509
692.000000; 0.081975
691.000000; 0.082264
690.000000; 0.082666
689.000000; 0.082848
688.000000; 0.083557
687.000000; 0.084037
686.000000; 0.083830
685.000000; 0.084083
684.000000; 0.084591
683.000000; 0.085331
682.000000; 0.085461
681.000000; 0.085857
680.000000; 0.086590
679.000000; 0.086863
678.000000; 0.087018
677.000000; 0.087333
676.000000; 0.087699
675.000000; 0.088135
674.000000; 0.088691
673.000000; 0.089012
672.000000; 0.089307
671.000000; 0.089451
670.000000; 0.089839
669.000000; 0.090725
668.000000; 0.091172
667.000000; 0.091393
666.000000; 0.091504
665.000000; 0.091996
664.000000; 0.092469
663.000000; 0.092721
662.000000; 0.093159
661.000000; 0.093586
660.000000; 0.094044
659.000000; 0.094241
658.000000; 0.094784
657.000000; 0.095116
656.000000; 0.095699
655.000000; 0.096030
654.000000; 0.096231
653.000000; 0.096985
652.000000; 0.097332
651.000000; 0.098069
650.000000; 0.098522
649.000000; 0.098795
648.000000; 0.099363
647.000000; 0.099706
646.000000; 0.099883
645.000000; 0.100309
644.000000; 0.100913
643.000000; 0.101335
642.000000; 0.101921
641.000000; 0.102748
640.000000; 0.103115
639.000000; 0.103357
638.000000; 0.103686
637.000000; 0.104135
636.000000; 0.104357
635.000000; 0.104903
634.000000; 0.105771
633.000000; 0.105953
632.000000; 0.106448
631.000000; 0.107004
630.000000; 0.107267
629.000000; 0.107716
628.000000; 0.108417
627.000000; 0.108903
626.000000; 0.109404
625.000000; 0.109634
624.000000; 0.110173
623.000000; 0.110816
622.000000; 0.111192
621.000000; 0.111827
620.000000; 0.112332
619.000000; 0.112719
618.000000; 0.113058
617.000000; 0.113520
616.000000; 0.114225
615.000000; 0.114464
614.000000; 0.115096
613.000000; 0.115500
612.000000; 0.115994
611.000000; 0.116612
610.000000; 0.117102
609.000000; 0.117874
608.000000; 0.118071
607.000000; 0.118683
606.000000; 0.119206
605.000000; 0.119927
604.000000; 0.120672
603.000000; 0.120905
602.000000; 0.121403
601.000000; 0.122017
600.000000; 0.122763
599.000000; 0.123111
598.000000; 0.124005
597.000000; 0.124520
596.000000; 0.124922
595.000000; 0.125834
594.000000; 0.126511
593.000000; 0.126931
592.000000; 0.127676
591.000000; 0.127766
590.000000; 0.128675
589.000000; 0.129673
588.000000; 0.130345
587.000000; 0.130464
586.000000; 0.131198
585.000000; 0.132143
584.000000; 0.132648
583.000000; 0.133519
582.000000; 0.134351
581.000000; 0.134959
580.000000; 0.135528
579.000000; 0.136541
578.000000; 0.137109
577.000000; 0.137487
576.000000; 0.138337
575.000000; 0.139090
574.000000; 0.139650
573.000000; 0.140564
572.000000; 0.141206
571.000000; 0.141884
570.000000; 0.143008
569.000000; 0.143760
568.000000; 0.144471
567.000000; 0.145440
566.000000; 0.145942
565.000000; 0.146642
564.000000; 0.147612
563.000000; 0.148537
562.000000; 0.149116
561.000000; 0.150502
560.000000; 0.151713
559.000000; 0.152598
558.000000; 0.153333
557.000000; 0.154002
556.000000; 0.154983
555.000000; 0.155872
554.000000; 0.156760
553.000000; 0.157615
552.000000; 0.157868
551.000000; 0.159567
550.000000; 0.160418
549.000000; 0.161034
548.000000; 0.162300
547.000000; 0.163357
546.000000; 0.163755
545.000000; 0.164845
544.000000; 0.165898
543.000000; 0.166871
542.000000; 0.167918
541.000000; 0.169052
540.000000; 0.169755
539.000000; 0.170975
538.000000; 0.171760
537.000000; 0.172693
536.000000; 0.173563
535.000000; 0.174639
534.000000; 0.175502
533.000000; 0.176754
532.000000; 0.177698
531.000000; 0.178463
530.000000; 0.179700
529.000000; 0.180598
528.000000; 0.181750
527.000000; 0.182694
526.000000; 0.183833
525.000000; 0.185070
524.000000; 0.185848
523.000000; 0.187110
522.000000; 0.188049
521.000000; 0.189115
520.000000; 0.190440
519.000000; 0.191507
518.000000; 0.192463
517.000000; 0.193957
516.000000; 0.195418
515.000000; 0.196577
514.000000; 0.197757
513.000000; 0.198951
512.000000; 0.200111
511.000000; 0.201572
510.000000; 0.203312
509.000000; 0.204216
508.000000; 0.205463
507.000000; 0.207071
506.000000; 0.208377
505.000000; 0.209877
504.000000; 0.211108
503.000000; 0.212310
502.000000; 0.214181
501.000000; 0.215803
500.000000; 0.217338
499.000000; 0.218507
498.000000; 0.219809
497.000000; 0.221418
496.000000; 0.222814
495.000000; 0.224269
494.000000; 0.225786
493.000000; 0.227280
492.000000; 0.228813
491.000000; 0.230466
490.000000; 0.232151
489.000000; 0.233378
488.000000; 0.234770
487.000000; 0.236349
486.000000; 0.237910
485.000000; 0.239302
484.000000; 0.240661
483.000000; 0.241908
482.000000; 0.243193
481.000000; 0.244641
480.000000; 0.245926
479.000000; 0.247319
478.000000; 0.248360
477.000000; 0.249672
476.000000; 0.251199
475.000000; 0.252536
474.000000; 0.253836
473.000000; 0.255189
472.000000; 0.256684
471.000000; 0.258098
470.000000; 0.259510
469.000000; 0.260895
468.000000; 0.262367
467.000000; 0.263759
466.000000; 0.265450
465.000000; 0.266890
464.000000; 0.268278
463.000000; 0.270124
462.000000; 0.271569
461.000000; 0.273190
460.000000; 0.274978
459.000000; 0.276740
458.000000; 0.278558
457.000000; 0.280161
456.000000; 0.282066
455.000000; 0.284130
454.000000; 0.286065
453.000000; 0.288151
452.000000; 0.289848
451.000000; 0.291653
450.000000; 0.293783
449.000000; 0.296235
448.000000; 0.298269
447.000000; 0.300010
446.000000; 0.301929
445.000000; 0.304158
444.000000; 0.306611
443.000000; 0.308934
442.000000; 0.310946
441.000000; 0.312751
440.000000; 0.315185
439.000000; 0.317497
438.000000; 0.319575
437.000000; 0.322411
436.000000; 0.324946
435.000000; 0.327151
434.000000; 0.329508
433.000000; 0.331923
432.000000; 0.334832
431.000000; 0.337670
430.000000; 0.340093
429.000000; 0.342390
428.000000; 0.345072
427.000000; 0.347682
426.000000; 0.350156
425.000000; 0.352995
424.000000; 0.355706
423.000000; 0.358640
422.000000; 0.361401
421.000000; 0.363952
420.000000; 0.366579
